iter	Logloss
0	0.6736629665
1	0.6542831382
2	0.6347644335
3	0.615448211
4	0.5983731173
5	0.5811498985
6	0.5649487575
7	0.5489580875
8	0.5335680956
9	0.5185764299
10	0.5043874983
11	0.4898194272
12	0.476680468
13	0.4630089903
14	0.4505351639
15	0.4385399626
16	0.4267388539
17	0.415380795
18	0.4044705401
19	0.3940031033
20	0.3835966935
21	0.3739105081
22	0.3637447692
23	0.3545552184
24	0.3455018678
25	0.3369409957
26	0.3285398001
27	0.320531331
28	0.3126498726
29	0.3043528162
30	0.2967240922
31	0.2897131576
32	0.2827863905
33	0.2762809156
34	0.2699150773
35	0.2636886795
36	0.2573787996
37	0.2517349337
38	0.2461350552
39	0.2406963039
40	0.2354949529
41	0.2301592685
42	0.2253469534
43	0.2207239396
44	0.2158404383
45	0.211561279
46	0.2073335466
47	0.2030843453
48	0.1991158392
49	0.1950440342
50	0.1912208784
51	0.1873885347
52	0.1839596999
53	0.1802367451
54	0.176829161
55	0.1737293072
56	0.1706303338
57	0.1673951595
58	0.1645294325
59	0.1618086493
60	0.1588616731
61	0.1563143646
62	0.1538266227
63	0.1514061875
