iter	Passed	Remaining
0	549	438267
1	1151	458450
2	1706	452181
3	2300	456616
4	2879	456652
5	3434	453306
6	3989	450802
7	4555	449886
8	5144	451014
9	5695	448767
10	6283	449578
11	6886	451058
12	7492	452438
13	8069	451903
14	8668	452490
15	9284	453775
16	9888	454268
17	10428	451896
18	10965	449597
19	11521	448204
20	12085	447165
21	12625	445335
22	13207	445026
23	13818	445652
24	14434	446328
25	15029	446251
26	15646	446780
27	16216	445961
28	16824	446144
29	17448	446688
30	18061	446879
31	18671	446937
32	19234	445901
33	19791	444736
34	20347	443584
35	20984	444176
36	21590	444068
37	22176	443530
38	22778	443300
39	23398	443397
40	24002	443170
41	24642	443560
42	25232	443041
43	25817	442425
44	26464	442844
45	27050	442214
46	27659	441969
47	28333	442706
48	28988	443106
49	29708	444446
50	30384	445041
51	31120	446459
52	31828	447394
53	32574	448807
54	33316	450079
55	34111	451982
56	34851	453071
57	35629	454586
58	36361	455438
59	37005	455171
60	37712	455646
61	38394	455783
62	39222	457592
63	39998	458729
64	40774	459810
65	41546	460789
66	42249	460965
67	42955	461135
68	43705	461753
69	44447	462251
70	45247	463305
71	46070	464548
72	46846	465252
73	47558	465302
74	48319	465797
75	49081	466272
76	49805	466357
77	50483	466002
78	51212	466095
79	51829	465166
80	52481	464556
81	53105	463701
82	53728	462844
83	54340	461894
84	54957	460992
85	55612	460419
86	56324	460311
87	57036	460181
88	57747	460034
89	58443	459752
90	59097	459144
91	59733	458392
92	60384	457755
93	61110	457679
94	61834	457572
